sector,ticker,company,market_cap,exchange,industry,sic_description,sentiment_score,short_pct_float,from_52w_high_pct,from_52w_low_pct,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct,volume_vs_20d,dollar_volume_20d_polygon,yf_forward_pe,yf_trailing_pe,yf_price_to_book,yf_peg_ratio,yf_dividend_yield,value_grade,growth_grade,momentum_grade,dolt_value_score,production_factor_score,production_factor_basket,production_theme,primary_keyword_factor,primary_keyword_factor_score,keyword_factor_baskets,quant_factor_score,ret_1w_pct,ret_1m_pct,ret_3m_pct,ret_6m_pct,ret_ytd_pct,ts0,four_h_timestamp,four_h_close,latest_daily_ts,latest_daily_timestamp,latest_daily_close,display_close,price_source,rsi0,rsi1,rsi2,rsi3,rsi4,rsi5,rsi_delta_1,prior_delta_3_avg,rsi_accel,inflection_flag,dolt_value_norm,grade_value_norm,warehouse_value_score,forward_pe_score,trailing_pe_score,pb_score,peg_score,composite_value_score,sector_ret_1m_median,sector_ret_3m_median,peer_lag_1m_pct,peer_lag_3m_pct,rsi_accel_pct,rsi_delta_pct,ret_1w_rank,ret_1m_rank,ret_3m_rank,ret_6m_rank,volume_rank,sector_strength_score,sector_strength_3m_score,peer_lag_score,peer_rally_laggard_flag,price_position_52w,accumulation_location_score,markup_location_score,breakout_location_score,distribution_risk_score,sma_proximity_score,trend_alignment_score,rsi_zone_inflection_score,grind_bonus,rsi_acceleration_score,rsi_value_score,short_score,near_low_score,oversold_not_broken_score,squeeze_laggard_score,value_laggard_score,rsi_leader_zone_score,momentum_leader_score,momentum_leader_eligible,pullback_depth,pullback_score,pullback_presence_score,rsi_cool_score,momentum_pullback_score,mom_pullback_eligible,rel_strength_core_score,rs_pullback_depth,rs_pullback_entry_score,rs_rsi_reset_score,rel_strength_pullback_score,rs_pullback_eligible,rsi_zone_score,st_mom_score,inflect_breakout_score,inflect_breakout_eligible,wave_accumulation_score,wave_pullback_score,wave_markup_score,wave_breakout_score,wave_stage_margin,wave_setup_score,wave_stage,raw_opportunity_score,thin_volume_penalty,broken_trend_penalty,crash_penalty,quality_penalty,opportunity_score,sleeve_rank_agreement,upside_potential,downside_risk,rr_ratio,rr_score,factor_align_score,ev_score,ev_master_eligible,primary_strategy,rank_in_sector,global_rank,is_top_inflection,diversified_top10,warehouse_display_close,latest_polygon_price,latest_polygon_price_source,latest_polygon_price_timestamp,latest_polygon_price_status
Financials,OWL,Blue Owl Capital Inc.,5791626679.41,XNYS,Asset Management,INVESTMENT ADVICE,-0.5,21.528893534743858,-58.91840607210626,8.930817610062892,-10.054575986565894,-11.693182754925413,-33.66179902698813,1.1971111482912644,,9.582422,78.5,3.0318635,0.14,9.39,,,,,3.0577593509134644,Broken Momentum / Avoid,Semiconductors,Financials / Credit,32.392705169838294,"Financials / Credit, AI Infrastructure, Energy Transition, Semiconductors, Crypto / Digital Assets",3.5001590457256464,-10.073452256033566,-15.399802566633769,-4.988913525498884,-45.344387755102034,-44.02351404310908,1782734400000,2026-06-29 08:00:00-04:00,8.66,1782504000000,2026-06-26 16:00:00-04:00,8.57,8.53,polygon.snapshot.min.c,40.09868834193855,39.459907530942,29.74374121380241,29.954373435487014,33.73170112005474,35.70518238545799,0.6387808109965505,1.9094021369624201,-1.2706213259658696,0,,,50.0,74.76038338658147,7.954545454545454,37.73006134969325,98.84615384615384,50.485094559588866,7.453739900964296,15.495086923658352,22.853542467598064,20.484000449157236,58.651026392961874,46.9208211143695,4.105571847507331,9.090909090909092,23.235294117647058,2.3529411764705883,45.16129032258065,81.52492668621701,68.32844574780059,93.56442987752285,1,13.162741038715701,73.48822311614711,2.3254820774314027,0.0,0.0,21.319648093841643,7.272727272727272,90.4256715283972,0.5269941690721542,62.2521441006664,57.309983293413836,97.65395894428153,88.26979472140762,95.62698318645866,98.00611042835779,70.76060042266705,46.29606502581564,16.04298251936266,False,10.073452256033566,95.89442815249267,100.0,81.11580269420335,56.61770595310357,False,29.529670519234088,10.073452256033566,95.89442815249267,85.29606502581564,56.41144910361419,False,58.71580269420335,4.105571847507331,48.432616362700394,True,70.8028244039724,53.14607522951137,26.03360483632636,34.666607940787394,17.656749174461027,65.8589346351233,Wave 1 / accumulation,98.00611042835779,0.0,0.0,0.0,0.0,98.00611042835779,64.7255969836615,58.91840607210626,8.930817610062892,6.59720180666542,93.841642228739,6.158357771260997,74.86770211871449,True,shorted near lows / peer lag,1,1,False,True,8.66,8.53,snapshot.min.c,1782777060000,OK
Financials,TPG,TPG Inc. Class A Common Stock,6747343714.849999,XNAS,Asset Management,INVESTMENT ADVICE,0.4,7.264819123133959,-44.52969593634555,5.656292286874143,-5.100064557779216,-6.979905409649345,-23.346451731585116,2.285003124275804,,11.576513,179.13043,5.5518126,,5.44,,,,,3.5988756412341494,Broken Momentum / Avoid,AI Infrastructure,Financials / Credit,13.423528120279013,"Financials / Credit, Macro Rates / Inflation, AI Infrastructure",3.8336381709741554,-5.612366230677768,-4.6142754145638065,-1.4647467725918628,-39.30264566447469,-39.63498098859316,1782734400000,2026-06-29 08:00:00-04:00,39.04,1782504000000,2026-06-26 16:00:00-04:00,39.69,39.07,polygon.snapshot.min.c,37.8894278699841,44.617887116568035,30.561744523682364,31.639279263062335,40.46343485268255,49.723767747417014,-6.728459246583938,1.3848174212951605,-8.113276667879099,0,,,50.0,61.022364217252395,3.787878787878788,17.791411042944784,50.0,40.992484528936636,7.453739900964296,15.495086923658352,12.068015315528102,16.959833696250215,14.662756598240469,7.038123167155425,9.970674486803519,27.85923753665689,28.529411764705884,4.705882352941177,82.99120234604105,81.52492668621701,68.32844574780059,85.95113851992409,1,11.270660371806988,67.81198111542096,0.0,0.0,0.0,43.26979472140763,15.337243401759531,83.13511197094752,0.0,35.78657398478772,37.97305641333027,68.6217008797654,93.54838709677419,90.54568410096343,90.00780715427436,62.416260843326015,39.66828360995229,22.350933794540538,False,5.612366230677768,90.02932551319648,83.06183115338884,74.0461691839491,60.09217981452966,False,37.51593927893738,5.612366230677768,90.02932551319648,78.66828360995228,60.97689694879508,False,51.646169183949105,9.970674486803519,44.50098511123654,False,66.47083265209531,58.986350019692345,32.82087282453395,38.34281980574485,7.484482632402965,64.37517751502247,Wave 1 / accumulation,90.00780715427436,0.0,0.0,0.0,0.0,90.00780715427436,57.98072894847088,44.52969593634555,5.656292286874143,7.87259456865058,96.18768328445748,14.07624633431085,72.15627251237474,True,shorted near lows / peer lag,2,2,False,True,39.04,39.07,snapshot.min.c,1782763200000,OK
Health Care,AMRX,"Amneal Pharmaceuticals, Inc. Class A Common Stock",5496762706.16,XNAS,Drug Manufacturers - Specialty & Generic,PHARMACEUTICAL PREPARATIONS,0.9,2.482024857960618,-2.127659574468077,128.04957599478146,13.0940308274768,25.20215461063655,37.08699757277243,3.57393712353246,,12.103502,37.054054,,,,,,,,8.627510665337448,Thematic Momentum Leadership,Healthcare / Biotech,Healthcare / Biotech,16.875988653347584,"Healthcare / Biotech, Energy Transition",7.846182902584492,6.292412091301669,34.82003129890454,42.86898839137645,34.19003115264798,36.09794628751975,1782734400000,2026-06-29 08:00:00-04:00,17.48,1782504000000,2026-06-26 16:00:00-04:00,17.23,17.38,polygon.snapshot.min.c,59.258181303277745,50.90482103130962,62.889236640331596,74.13856264726611,70.4612931679551,52.61082654063387,8.353360271968121,-6.518824045548494,14.872184317516616,1,,,50.0,57.82747603833866,23.863636363636363,50.0,50.0,48.03641446413012,11.742442799638763,26.57994273190514,-23.077588499265776,-16.28904565947131,99.70674486803519,96.18768328445748,77.71260997067449,98.24046920821114,90.0,84.41176470588235,95.45454545454545,95.16129032258064,95.16129032258064,8.715542521994134,0,98.36556709384395,0.0,27.2688658123121,55.19575239354331,52.545374254421894,7.052785923753666,94.04692082111438,46.34800169918345,12.0,90.87636464602897,72.88358556963145,9.970674486803519,7.9178885630498534,60.30618300246119,21.05360950259216,34.946029679965456,96.22545609016677,75.80262089612665,True,0.0,36.070381231671554,23.537939543491653,57.573819829511216,47.53818938505381,False,90.9207348628601,0.0,36.070381231671554,57.225456090166766,60.730772063767034,False,79.97381982951121,77.71260997067449,87.12612394651524,True,33.848123419571756,45.14901556539438,70.96486274917372,83.54522064918682,12.580357900013098,80.02272043718315,Wave 3-5 / breakout,87.12612394651524,0.0,0.0,0.0,0.0,87.12612394651524,63.259321323837455,5.0,128.04957599478146,0.03904737646459501,3.225806451612903,92.96187683284458,61.0597068500696,True,RSI breakout inflection,1,3,True,True,17.48,17.38,snapshot.min.c,1782773580000,OK
Real Estate,EPRT,"Essential Properties Realty Trust, Inc.",6621451142.1,XNYS,REIT - Retail,REAL ESTATE INVESTMENT TRUSTS,0.5,7.145311920401008,-12.42441693060754,5.0604490500863575,1.420953264217828,-1.1058574270728427,-1.1778298819265731,3.5346142367415125,,21.441938,23.637796,1.4789635,,4.23,,,,,4.699318637875993,Broken Momentum / Avoid,Housing / Real Estate,Housing / Real Estate,15.779929402355783,Housing / Real Estate,5.052246520874751,4.2915531335149915,-2.078669651423082,-0.39037085230968493,3.90227349847303,1.8629407850964785,1782734400000,2026-06-29 08:00:00-04:00,30.415,1782504000000,2026-06-26 16:00:00-04:00,30.62,30.52,polygon.snapshot.min.c,52.73196761059387,56.831570363367604,55.47850721049357,57.377532815046656,54.398979641128015,38.66484865210893,-4.099602752773734,0.8108635740798628,-4.910466326853597,0,,,50.0,23.961661341853034,42.803030303030305,74.5398773006135,50.0,46.09185147600982,3.033175355450224,12.177502579979361,5.111845006873306,12.567873432289046,32.84457478005865,13.196480938416423,57.47800586510264,34.01759530791789,31.764705882352942,45.588235294117645,95.45454545454545,56.598240469208214,43.401759530791786,75.47860962566845,1,28.941880685124534,79.1743579446264,33.88376137024906,0.0,7.152588555858319,92.71260997067449,36.39296187683284,67.88450688504022,0.0,43.68503413054407,44.69589741563968,67.15542521994135,94.72140762463343,75.3164744956341,86.95805593671194,62.78464578321059,84.19590283178161,46.31079120243284,False,0.0,36.070381231671554,33.54223433242504,78.45770364609962,56.98400625227028,False,47.56665516646541,0.0,36.070381231671554,76.80409716821839,58.751336066893685,False,99.14229635390038,57.47800586510264,64.58029549609972,False,75.03945567809913,66.4868509569371,50.282878051223655,52.375743280064526,8.552604721162027,72.64472635617376,Wave 1 / accumulation,86.95805593671194,0.0,0.0,0.0,0.0,86.95805593671194,72.55969836614999,12.42441693060754,5.0604490500863575,2.455200478778759,81.52492668621701,31.085043988269796,73.61923243918139,True,shorted near lows / peer lag,1,4,False,False,30.415,30.52,snapshot.min.c,1782763500000,OK
Consumer Staples,ACI,"Albertsons Companies, Inc.",6656088768.57,XNYS,Grocery Stores,RETAIL-GROCERY STORES,0.30000000000000004,9.991696399017322,-39.99122036874452,2.704733283245675,-9.175967386219341,-14.281389158708734,-20.900534896309274,1.207582836203211,,6.5531435,40.35,4.3906417,1.44,4.16,,,,,2.8401693148554568,Oversold / Mean-Reversion Watch,Consumer / Retail,Consumer / Retail,7.483413115104284,Consumer / Retail,3.49013916500994,1.0408921933085624,-15.22145976294449,-20.479812755997663,-21.034282393957003,-21.490467937608315,1782734400000,2026-06-29 08:00:00-04:00,13.67,1782504000000,2026-06-26 16:00:00-04:00,13.59,13.4613,polygon.snapshot.min.c,39.288036152322476,36.356354027998606,39.204431088665046,44.21013321673085,41.78875893511834,34.947477494543804,2.9316821243238707,-1.8108016357065775,4.742483760030448,1,,,50.0,95.2076677316294,20.833333333333332,24.539877300613497,57.69230769230769,53.492513912614754,1.8425153810462502,1.9015680984473982,17.06397514399074,22.381380854445062,84.1642228739003,69.50146627565982,34.3108504398827,9.3841642228739,7.0588235294117645,17.647058823529413,46.04105571847507,32.697947214076244,34.457478005865106,91.60112989477315,0,6.334870290734444,53.00461087220333,0.0,0.0,1.7348203221809375,22.023460410557185,8.592375366568914,87.75051930266417,4.4622346728277895,79.29385961575935,68.45729442043861,81.52492668621701,97.65395894428153,93.7624831503417,86.15899542560862,75.20814797769648,43.86410845696743,15.91050690513736,False,0.0,36.070381231671554,49.79553903345719,78.52171568743192,35.97868666424516,False,18.89584267724685,0.0,36.070381231671554,82.86410845696743,33.78157342444465,False,56.12171568743192,34.3108504398827,49.85594211833892,True,67.81043715713515,37.95671771421959,18.259576451784493,35.64377054959573,29.853719442915562,59.4513957131188,Wave 1 / accumulation,86.15899542560862,0.0,0.0,0.0,0.0,86.15899542560862,48.80603267700042,39.99122036874452,5.0,7.9982440737489044,97.0674486803519,3.225806451612903,67.10788970604303,True,shorted near lows / peer lag,1,5,True,False,13.67,13.4613,snapshot.min.c,1782777300000,OK
Consumer Discretionary,LKQ,LKQ Corporation,6886996270.05,XNAS,Auto Parts,WHOLESALE-MOTOR VEHICLES & MOTOR VEHICLE PARTS & SUPPLIES,-1.0,5.216102847655411,-33.03997988433493,11.074035453597485,4.480929234753517,-1.6472180680937476,-10.23594198711324,1.2324295404144383,,7.5386786,12.53,0.9890674,0.92,4.76,,,,,4.150142858257549,Broken Momentum / Avoid,,,,,4.835526838966202,4.767441860465116,-1.4941690962099075,-8.836424957841471,-9.869956652217393,-9.990009990009984,1782734400000,2026-06-29 08:00:00-04:00,26.63,1782504000000,2026-06-26 16:00:00-04:00,27.03,26.2772,polygon.snapshot.min.c,56.34784531829668,45.40445065945742,65.23956170649805,58.65834792724078,49.63122949685394,44.06806617186316,10.94339465883926,-1.4089262791321744,12.352320937971434,1,,,50.0,92.01277955271566,79.54545454545455,93.25153374233129,77.5,72.79774313134678,3.88235294117647,13.305455236647035,5.376522037386378,22.141880194488508,98.53372434017595,98.53372434017595,64.22287390029325,35.19061583577712,18.235294117647058,27.352941176470587,48.38709677419355,67.74193548387096,54.54545454545455,78.34569604968087,1,25.103213499758727,90.69035950072382,26.206426999517447,0.0,7.945736434108527,76.8475073313783,37.287390029325515,55.95211044962097,9.704463139566087,95.77743029021833,86.12596168349228,50.43988269794721,83.57771260997067,66.99995576791764,74.35540354643123,79.04912691369722,95.04353595489003,33.369034602815745,False,0.0,36.070381231671554,31.16279069767442,66.88689498145064,45.37920771664296,False,35.4378816629291,0.0,36.070381231671554,65.95646404510997,51.81328326543563,False,89.28689498145063,64.22287390029325,70.57685571017204,True,86.3092715472938,55.425965272734196,38.59425443145216,51.40769700381584,30.883306274559608,77.66194579041712,Wave 1 / accumulation,86.12596168349228,0.0,0.0,0.0,0.0,86.12596168349228,71.55425219941348,33.03997988433493,11.074035453597485,2.9835537390844853,84.4574780058651,23.46041055718475,72.66608072411965,True,RSI inflection + value,1,6,True,True,26.63,26.2772,snapshot.min.c,1782769140000,OK
Financials,FNF,"Fidelity National Financial, Inc.",12572348693.4,XNYS,Insurance - Specialty,TITLE INSURANCE,0.8889,3.067777332189913,-23.24416758275315,10.168302945301555,-0.6582375397441664,-4.189725265934552,-11.970238364466956,2.101219468281585,,7.861189,16.743773,1.7174666,0.85,4.39,,,,,3.931270332211235,Broken Momentum / Avoid,Financials / Credit,Financials / Credit,14.196718008512494,"Financials / Credit, Housing / Real Estate",4.061590457256461,-0.23494233233660733,-2.8292074058664407,1.6539717083786654,-14.591332967635761,-13.946204863669864,1782734400000,2026-06-29 08:00:00-04:00,47.13,1782504000000,2026-06-26 16:00:00-04:00,46.71,47.59,polygon.snapshot.min.c,52.16644601716463,45.162681977790015,39.66706615466164,39.86135713673126,57.144579504282234,53.634994887181,7.003764039374616,-3.993965842164073,10.997729881538689,1,,,50.0,89.45686900958466,64.01515151515152,67.48466257668711,80.0,66.08918936617195,7.453739900964296,15.495086923658352,10.282947306830737,13.841115215279686,97.65395894428153,93.841642228739,25.806451612903224,32.25806451612903,35.294117647058826,22.941176470588236,79.17888563049853,81.52492668621701,68.32844574780059,83.5302742797999,1,30.432658180016237,74.70202545995129,36.86531636003247,0.0,0.0,69.48680351906158,25.63049853372434,69.75072814335672,10.175088253566093,98.04206409410442,84.62185670837277,21.114369501466275,85.63049853372434,76.61717416052136,61.170342566992275,78.32447375949909,82.4993380514939,38.58852235239691,False,0.23494233233660733,74.19354838709677,56.174711661683034,80.26737274507317,61.47480733402439,False,44.811281697429706,0.23494233233660733,74.19354838709677,78.5006619485061,64.98575249683779,False,97.33262725492682,25.806451612903224,75.39474039144432,True,83.17041575029891,66.15513914224469,48.743378131807205,57.025700539851925,17.015276608054222,78.40613830004374,Wave 1 / accumulation,84.62185670837277,0.0,0.0,0.0,0.0,84.62185670837277,82.65605362379554,23.24416758275315,10.168302945301555,2.2859436533107553,80.64516129032258,19.941348973607038,73.43415592250105,True,RSI inflection + value,3,7,True,False,47.13,47.59,snapshot.min.c,1782763200000,OK
Consumer Discretionary,GAP,"The Gap, Inc.",7275174235.93,XNYS,Apparel Retail,RETAIL-FAMILY CLOTHING STORES,0.1,6.461017315228807,-30.82425068119892,8.696815627508702,-4.600061365621055,-11.237405901109398,-17.46607369654796,0.7732674529741216,,8.163032,8.448413,2.1027162,1.26,3.25,,,,,2.86022317656038,Broken Momentum / Avoid,Energy Transition,Macro Rates / Inflation,8.252267426172688,"Macro Rates / Inflation, Energy Transition, Consumer / Retail",3.490695825049702,-4.444444444444429,-15.966735966735968,-19.38571998404467,-23.359878649981034,-19.769749900754263,1782720000000,2026-06-29 04:00:00-04:00,20.31,1782504000000,2026-06-26 16:00:00-04:00,20.21,18.7895,polygon.snapshot.min.c,39.69724972895246,37.745716418358555,40.2622837938916,43.3086397321784,34.15712919579818,33.39189181120493,1.9515333105939021,1.1961957408534591,0.755337569740443,0,,,50.0,86.90095846645367,93.56060606060606,51.84049079754601,63.46153846153846,66.70848106841315,3.88235294117647,13.305455236647035,19.84908890791244,32.691175220691704,68.91495601173021,60.410557184750736,12.023460410557185,8.504398826979472,8.823529411764707,15.0,20.527859237536656,67.74193548387096,54.54545454545455,95.66905295842676,1,22.00551867597901,99.98344397206297,20.01103735195801,0.0,0.0,35.117302052785924,15.014662756598241,89.1009241055431,1.7912959979776757,71.36446362567733,69.40895095162637,61.87683284457478,88.85630498533725,94.70367437659066,84.03075556945137,79.362767409535,45.09174918685737,17.13184706946801,False,4.444444444444429,87.97653958944281,77.22222222222214,79.83119913264787,51.56243184715731,False,23.058944281524926,4.444444444444429,87.97653958944281,84.09174918685737,53.01317919701047,False,57.43119913264786,12.023460410557185,44.81821034034672,True,82.65771261466878,52.40076981638821,25.638799604933318,29.964239987199228,30.25694279828057,74.18576863115022,Wave 1 / accumulation,84.03075556945137,0.0,0.0,0.0,0.0,84.03075556945137,63.55257645580226,30.82425068119892,8.696815627508702,3.544314609096624,86.51026392961877,3.812316715542522,67.49832205299462,True,shorted near lows / peer lag,2,8,False,False,20.31,18.7895,snapshot.min.c,1782777540000,OK
Information Technology,ALGM,"Allegro MicroSystems, Inc. Common Stock",10785431714.960001,XNAS,Semiconductors,SEMICONDUCTORS & RELATED DEVICES,0.4,7.220630582981514,-5.832184839886489,159.1599323519306,10.623982128943133,20.230525261390795,63.44788355248851,3.8465787522777055,,32.724434,,9.355465,,,,,,,9.24098039361903,Thematic Momentum Leadership,Semiconductors,Semiconductors,23.0011811544846,"Semiconductors, AI Infrastructure, Industrial Automation",8.611192842942346,-1.881355932203388,18.14285714285715,85.36663464617355,110.89253187613846,115.12448903753251,1782734400000,2026-06-29 08:00:00-04:00,58.078,1782504000000,2026-06-26 16:00:00-04:00,57.89,66.2,polygon.snapshot.min.c,51.93714689894396,48.850839904299185,54.77649717533902,55.197186197822795,50.955124331626294,54.04173602819772,3.0863069946447723,-0.7014281424423695,3.7877351370871417,1,,,50.0,13.099041533546325,50.0,9.202453987730062,50.0,34.65512848154609,-4.609218436873752,19.22031017167529,-22.7520755797309,-66.14632447449826,80.93841642228739,70.96774193548387,22.580645161290324,92.08211143695014,97.94117647058823,98.52941176470588,95.45454545454545,23.167155425219942,83.57771260997067,2.7296877695359667,0,96.4651736463833,0.0,31.069652707233388,59.37661797795673,38.63731256348995,7.49266862170088,94.34017595307918,70.50741523348495,3.8059737747040363,73.34188329678999,57.093446274387546,68.32844574780059,6.451612903225806,77.1445621324289,41.479210396441104,25.28178285591487,81.81144069683188,82.58300234648866,True,1.881355932203388,77.41935483870968,64.40677966101694,81.00112992337934,67.30157907453913,True,83.80872865275143,1.881355932203388,77.41935483870968,79.18855930316812,59.657319123557905,True,96.59887007662067,22.580645161290324,70.07286748525094,True,29.1712479502972,56.03952850861433,64.65510969125297,73.32681964507132,8.67170995381835,70.89874085800218,Wave 3-5 / breakout,82.58300234648866,0.0,0.0,0.0,0.0,82.58300234648866,67.3229995810641,5.832184839886489,159.1599323519306,0.03664354937642536,2.932551319648094,99.12023460410558,61.33597373706491,True,momentum leader / wave 3,1,9,True,True,58.078,66.2,snapshot.min.c,1782777000000,OK
Information Technology,CTSH,Cognizant Technology Solutions,18934190000.0,XNAS,Information Technology Services,SERVICES-COMPUTER PROGRAMMING SERVICES,0.30000000000000004,12.64526469344609,-52.87716879237044,5.237362073389806,-18.862082769594068,-22.432402057101232,-40.10186274528142,0.9964613346460897,,8.594139,11.494577,1.6669289,0.87,2.48,,,,,2.6497490487771107,Oversold / Mean-Reversion Watch,Semiconductors,Healthcare / Biotech,21.6437634794459,"Healthcare / Biotech, Energy Transition, Cloud Software, Semiconductors, Oil & Gas",3.196182902584493,-8.398169336384441,-24.699021820917977,-34.11784068466096,-53.00540032871566,-50.75049212598426,1782734400000,2026-06-29 08:00:00-04:00,41.011,1782504000000,2026-06-26 16:00:00-04:00,40.03,39.0728,polygon.snapshot.min.c,39.275324768904376,31.791637602399646,22.857114492770478,26.653140296065203,19.140202658767862,15.486792979890538,7.48368716650473,4.217144981210595,3.266542185294135,0,,,50.0,84.34504792332268,84.84848484848484,68.40490797546012,79.03846153846153,68.0261939813455,-4.609218436873752,19.22031017167529,20.089803384044224,53.338150856336256,78.2991202346041,95.30791788856305,6.451612903225806,2.932551319648094,1.1764705882352942,1.1764705882352942,29.618768328445746,23.167155425219942,83.57771260997067,97.6096687942039,0,9.012138608651387,61.036415825954165,0.0,0.0,0.0,6.466275659824047,1.217008797653959,87.70857173738445,6.958012036836994,85.75242233861321,78.30740642856077,88.56304985337243,94.42815249266862,93.73324696848006,87.82105886969603,83.18906686385614,43.82597430671313,7.287016360959338,False,8.398169336384441,93.54838709677419,96.9908466819222,78.481039260494,49.275505826852076,False,8.5535449370364,8.398169336384441,93.54838709677419,82.82597430671314,37.620850479186174,False,56.081039260494,6.451612903225806,40.82671142802673,True,70.75200003771099,41.81120491147761,10.444809145155201,27.80980984801838,28.940795126233375,62.64857740236564,Wave 1 / accumulation,87.82105886969603,0.0,6.0,0.0,6.0,81.82105886969603,53.28864683703392,52.87716879237044,5.237362073389806,10.0,99.41348973607037,0.0,66.81290474766968,True,shorted near lows / peer lag,2,10,False,True,41.011,39.0728,snapshot.min.c,1782777000000,OK
